#ESP32; measured
60 μs; 61 μs
25 μs; 26 μs
28 μs; 29 μs
11022; None
21501; None
1170; 6 μs
101 μs; 102 μs
19 μs; 20 μs
52 μs; 52 μs
92 μs; 92 μs
7 μs; 7 μs
101 μs; 102 μs
91 μs; 91 μs
100 μs; 101 μs
20 μs; 20 μs
42 μs; 42 μs
None; 92 μs
4482; None
3615; None
18660; None
10026; 43 μs
61 μs; 62 μs
64 μs; 64 μs
None; 57 μs
45 μs; 46 μs
88 μs; 88 μs
15912; None
6963; 30 μs
47 μs; 47 μs
8 μs; 8 μs
None; 5 μs
71 μs; 71 μs
5 μs; 5 μs
50 μs; 50 μs
21 μs; 22 μs
60 μs; 61 μs
25 μs; 25 μs
18168; None
12759; 51 μs
101 μs; 102 μs
58 μs; 58 μs
43 μs; 43 μs
16089; None
12084; 55 μs
80 μs; 80 μs
68 μs; 68 μs
None; 5 μs
82 μs; 82 μs
13 μs; 14 μs
8163; None
12228; 51 μs
17304; None
1194; 6 μs
88 μs; 88 μs
24 μs; 25 μs
7101; None
17850; 75 μs
49 μs; 51 μs
58 μs; 59 μs
76 μs; 77 μs
37 μs; 37 μs
28 μs; 28 μs
84 μs; 84 μs
93 μs; 94 μs
73 μs; 73 μs
33 μs; 34 μs
7 μs; 8 μs
76 μs; 76 μs
70 μs; 70 μs
24 μs; 25 μs
56 μs; 57 μs
88 μs; 89 μs
62 μs; 63 μs
13 μs; 14 μs
51 μs; 53 μs
26 μs; 26 μs
22035; None
21801; None
10464; 44 μs
None; 70 μs
11 μs; 12 μs
45 μs; 46 μs
54 μs; 55 μs
22 μs; 23 μs
95 μs; 95 μs
26 μs; 27 μs
78 μs; 79 μs
42 μs; 42 μs
85 μs; 85 μs
9 μs; 9 μs
62 μs; 63 μs
18 μs; 19 μs
22227; None
1281; 93 μs
15429; None
1515; 6 μs
36 μs; 36 μs
44 μs; 45 μs
57 μs; 58 μs
84 μs; 85 μs
55 μs; 56 μs
16 μs; 16 μs
10 μs; 10 μs
7 μs; 8 μs
37 μs; 38 μs
84 μs; 86 μs
75 μs; 76 μs
101 μs; 102 μs
93 μs; 94 μs
53 μs; 53 μs
14 μs; 15 μs
31 μs; 33 μs
30 μs; 30 μs
43 μs; 43 μs
67 μs; 68 μs
54 μs; 55 μs
82 μs; 82 μs
49 μs; 50 μs
41 μs; 42 μs
6 μs; 6 μs
5 μs; 6 μs
6 μs; 6 μs
30 μs; 32 μs
35 μs; 36 μs
26 μs; 27 μs
38 μs; 40 μs
13653; None
13992; 60 μs
48 μs; 48 μs
10 μs; 11 μs
32 μs; 33 μs
83 μs; 83 μs
1386; None
9837; 41 μs
13 μs; 13 μs
5 μs; 5 μs
87 μs; 87 μs
69 μs; 70 μs
4 μs; 5 μs
88 μs; 89 μs
21 μs; 22 μs
60 μs; 61 μs
22 μs; 23 μs
7 μs; 7 μs
13 μs; 13 μs
None; 77 μs
81 μs; 82 μs
16 μs; 17 μs
24 μs; 25 μs
79 μs; 79 μs
10 μs; 11 μs
None; 6 μs
98 μs; 99 μs
7461; None
11628; 49 μs
51 μs; 51 μs
74 μs; 74 μs
18 μs; 19 μs
78 μs; 79 μs
None; 5 μs
66 μs; 66 μs
6 μs; 8 μs
None; 5 μs
17 μs; 18 μs
59 μs; 60 μs
2049; None
1881; 8 μs
15712; None
20361; 86 μs
24 μs; 24 μs
48 μs; 48 μs
49 μs; 50 μs
64 μs; 64 μs
78 μs; 79 μs
12 μs; 13 μs
18 μs; 18 μs
19 μs; 19 μs
None; 5 μs
2187; None
1521; 6 μs
77 μs; 77 μs
8 μs; 10 μs
71 μs; 72 μs
6 μs; 5 μs
7 μs; 7 μs
6 μs; 7 μs
5 μs; 6 μs
102 μs; 103 μs
20028; None
13281; 56 μs
5628; None
3588; 15 μs
38 μs; 39 μs
2277; None
19122; 81 μs
20 μs; 20 μs
43 μs; 42 μs
5 μs; 5 μs
None; 5 μs
72 μs; 73 μs
None; 5 μs
57 μs; 58 μs
39 μs; 40 μs
13 μs; 14 μs
101 μs; 102 μs
43 μs; 43 μs
2937; None
20466; 85 μs
80 μs; 81 μs
42 μs; 42 μs
93 μs; 95 μs
13449; None
14091; 59 μs
42 μs; 42 μs
39 μs; 39 μs
94 μs; 95 μs
30 μs; 30 μs
7 μs; 7 μs
13 μs; 13 μs
5 μs; 5 μs
45 μs; 46 μs
41 μs; 42 μs
89 μs; 90 μs
7 μs; 9 μs
None; 6 μs
21 μs; 21 μs
43 μs; 43 μs
57 μs; 57 μs
46 μs; 46 μs
10 μs; 11 μs
11835; None
21933; 91 μs
5 μs; 6 μs
4 μs; 4 μs
7 μs; 7 μs
73 μs; 73 μs
66 μs; 66 μs
101 μs; 102 μs
55 μs; 56 μs
85 μs; 85 μs
79 μs; 80 μs
77 μs; 77 μs
98 μs; 98 μs
80 μs; 81 μs
9 μs; 9 μs
40 μs; 41 μs
16 μs; 17 μs
90 μs; 91 μs
17 μs; 17 μs
14 μs; 14 μs
61 μs; 61 μs
5 μs; 6 μs
69 μs; 70 μs
20376; None
18018; 86 μs
5 μs; 5 μs
31 μs; 32 μs
None; 59 μs
76 μs; 76 μs
17 μs; 18 μs
None; 5 μs
97 μs; 98 μs
68 μs; 68 μs
31 μs; 32 μs
66 μs; 68 μs
99 μs; 100 μs
37 μs; 38 μs
30 μs; 30 μs
93 μs; 94 μs
20430; None
15576; 66 μs
64 μs; 66 μs
95 μs; 96 μs
69 μs; 69 μs
None; 5 μs
24 μs; 24 μs
82 μs; 82 μs
15075; None
23055; 97 μs
73 μs; 73 μs
23601; None
5475; 24 μs
29 μs; 29 μs
20163; None
18702; None
20520; None
4044; 18 μs
59 μs; 60 μs
6 μs; 6 μs
10 μs; 11 μs
67 μs; 67 μs
34 μs; 36 μs
16475; None
1713; 7 μs
28 μs; 30 μs
31 μs; 33 μs
95 μs; 96 μs
74 μs; 75 μs
10 μs; 11 μs
41 μs; 41 μs
None; 85 μs
62 μs; 62 μs
71 μs; 71 μs
34 μs; 34 μs
4 μs; 4 μs
19330; None
14208; 59 μs
58 μs; 59 μs
None; 5 μs
21474; None
10866; 46 μs
None; 57 μs
21 μs; 23 μs
7797; None
13920; 58 μs
84 μs; 85 μs
50 μs; 50 μs
74 μs; 75 μs
28 μs; 28 μs
6 μs; 7 μs
None; 5 μs
37 μs; 38 μs
61 μs; 62 μs
34 μs; 35 μs
11 μs; 11 μs
84 μs; 85 μs
25 μs; 25 μs
None; 10 μs
38 μs; 38 μs
44 μs; 44 μs
47 μs; 48 μs
None; 35 μs
36 μs; 36 μs
37 μs; 37 μs
27 μs; 28 μs
48 μs; 48 μs
39 μs; 39 μs
83 μs; 84 μs
95 μs; 95 μs
38 μs; 38 μs
4 μs; 4 μs
76 μs; 76 μs
None; 5 μs
15 μs; 15 μs
None; 41 μs
31 μs; 32 μs
92 μs; 93 μs
37 μs; 37 μs
8593; None
5736; 24 μs
8673; None
10551; 44 μs
63 μs; 63 μs
62 μs; 62 μs
22 μs; 22 μs
4 μs; 4 μs
29 μs; 30 μs
20863; None
3291; 14 μs
36 μs; 36 μs
44 μs; 44 μs
78 μs; 79 μs
41 μs; 42 μs
6028; None
5823; 26 μs
46 μs; 47 μs
9 μs; 8 μs
6 μs; 6 μs
5748; None
20661; 87 μs
96 μs; 97 μs
17 μs; 17 μs
8 μs; 8 μs
16 μs; 16 μs
26 μs; 27 μs
68 μs; 69 μs
96 μs; 97 μs
8 μs; 7 μs
6 μs; 7 μs
1725; None
4518; 19 μs
None; 99 μs
92 μs; 94 μs
91 μs; 92 μs
84 μs; 84 μs
11 μs; 11 μs
61 μs; 61 μs
81 μs; 82 μs
45 μs; 46 μs
64 μs; 65 μs
66 μs; 67 μs
30 μs; 30 μs
5 μs; 5 μs
68 μs; 68 μs
33 μs; 34 μs
42 μs; 44 μs
None; 5 μs
None; 5 μs
89 μs; 89 μs
66 μs; 67 μs
27 μs; 27 μs
83 μs; 83 μs
47 μs; 48 μs
69 μs; 71 μs
48 μs; 49 μs
50 μs; 50 μs
95 μs; 96 μs
95 μs; 95 μs
33 μs; 33 μs
1308; None
14325; 60 μs
65 μs; 65 μs
7 μs; 9 μs
77 μs; 78 μs
66 μs; 67 μs
None; 6 μs
None; 10 μs
63 μs; 63 μs
6867; None
16251; 69 μs
63 μs; 64 μs
8 μs; 8 μs
67 μs; 67 μs
40 μs; 40 μs
72 μs; 72 μs
35 μs; 35 μs
98 μs; 98 μs
31 μs; 32 μs
35 μs; 37 μs
8 μs; 7 μs
70 μs; 71 μs
30 μs; 30 μs
50 μs; 50 μs
31 μs; 31 μs
94 μs; 95 μs
74 μs; 75 μs
47 μs; 48 μs
8 μs; 8 μs
11 μs; 11 μs
5 μs; 7 μs
37 μs; 36 μs
31 μs; 32 μs
43 μs; 43 μs
29 μs; 30 μs
98 μs; 99 μs
34 μs; 35 μs
91 μs; 91 μs
18 μs; 19 μs
29 μs; 30 μs
81 μs; 81 μs
42 μs; 42 μs
84 μs; 85 μs
8 μs; 9 μs
54 μs; 55 μs
7866; None
4770; 20 μs
6 μs; 7 μs
None; 5 μs
90 μs; 91 μs
60 μs; 61 μs
83 μs; 83 μs
None; 60 μs
20379; None
2634; None
1116; 12 μs
90 μs; 90 μs
4 μs; 4 μs
77 μs; 77 μs
5 μs; 5 μs
None; 20 μs
88 μs; 89 μs
None; 5 μs
None; 6 μs
15003; None
14226; 60 μs
15 μs; 16 μs
84 μs; 84 μs
61 μs; 62 μs
20523; None
1263; None
15228; 63 μs
85 μs; 87 μs
11 μs; 12 μs
None; 6 μs
44 μs; 44 μs
51 μs; 51 μs
11 μs; 12 μs
14 μs; 14 μs
4 μs; 5 μs
64 μs; 64 μs
85 μs; 86 μs
28 μs; 28 μs
7 μs; 8 μs
37 μs; 39 μs
75 μs; 76 μs
94 μs; 95 μs
78 μs; 78 μs
33 μs; 33 μs
21471; None
11193; 48 μs
9885; None
8637; 41 μs
17 μs; 18 μs
53 μs; 54 μs
8466; None
11538; 49 μs
44 μs; 45 μs
13503; None
13923; 58 μs
80 μs; 81 μs
78 μs; 79 μs
64 μs; 65 μs
5 μs; 6 μs
37 μs; 38 μs
8 μs; 8 μs
71 μs; 71 μs
95 μs; 99 μs
7 μs; 7 μs
None; 20 μs
1998; None
1881; 9 μs
43 μs; 43 μs
58 μs; 59 μs
38 μs; 39 μs
20 μs; 21 μs
66 μs; 67 μs
74 μs; 75 μs
98 μs; 99 μs
66 μs; 68 μs
52 μs; 53 μs
8 μs; 8 μs
54 μs; 55 μs
79 μs; 80 μs
None; 28 μs
32 μs; 33 μs
58 μs; 58 μs
66 μs; 66 μs
24 μs; 25 μs
10 μs; 12 μs
None; 5 μs
2385; None
22920; None
18870; 76 μs
31 μs; 31 μs
37 μs; 38 μs
8 μs; 9 μs
38 μs; 39 μs
18 μs; 14 μs
5 μs; 5 μs
8 μs; 8 μs
16 μs; 16 μs
55 μs; 56 μs
1863; None
1515; None
19020; 80 μs
73 μs; 75 μs
62 μs; 63 μs
None; 52 μs
90 μs; 91 μs
None; 97 μs
87 μs; 87 μs
77 μs; 77 μs
73 μs; 74 μs
1215; None
7023; None
7965; 34 μs
4 μs; 4 μs
85 μs; 86 μs
61 μs; 62 μs
5 μs; 5 μs
20 μs; 21 μs
66 μs; 68 μs
71 μs; 71 μs
45 μs; 46 μs
87 μs; 87 μs
9 μs; 10 μs
52 μs; 53 μs
93 μs; 95 μs
72 μs; 73 μs
90 μs; 91 μs
None; 5 μs
57 μs; 58 μs
9 μs; 9 μs
101 μs; 103 μs
34 μs; 34 μs
52 μs; 52 μs
19 μs; 20 μs
17 μs; 18 μs
54 μs; 54 μs
59 μs; 60 μs
38 μs; 39 μs
24 μs; 24 μs
87 μs; 88 μs
93 μs; 93 μs
39 μs; 40 μs
63 μs; 64 μs
16 μs; 16 μs
77 μs; 77 μs
48 μs; 51 μs
74 μs; 75 μs
37 μs; 38 μs
84 μs; 86 μs
29 μs; 29 μs
60 μs; 60 μs
6 μs; 6 μs
65 μs; 65 μs
None; 89 μs
12 μs; 13 μs
85 μs; 85 μs
99 μs; 100 μs
7 μs; 8 μs
80 μs; 81 μs
1926; None
14904; 63 μs
96 μs; 96 μs
1764; None
6315; 26 μs
None; 69 μs
None; 6 μs
11844; None
13623; 58 μs
53 μs; 53 μs
5 μs; 5 μs
None; 74 μs
10 μs; 12 μs
91 μs; 91 μs
34 μs; 34 μs
None; 5 μs
None; 5 μs
21477; None
23082; None
5718; 24 μs
100 μs; 100 μs
12 μs; 12 μs
17 μs; 18 μs
None; 95 μs
55 μs; 56 μs
21 μs; 21 μs
79 μs; 80 μs
1647; None
10290; 43 μs
38 μs; 39 μs
67 μs; 70 μs
76 μs; 76 μs
10 μs; 10 μs
102 μs; 103 μs
62 μs; 62 μs
6 μs; 6 μs
None; 81 μs
5652; None
6276; 27 μs
4050; None
18300; 77 μs
13 μs; 14 μs
